Repository Name,Last Push Date,Is Archived?,Number Of Pull Requests,Number of Issues,Number of Projects,Number of Discussions,Number of Packages,Number of Releases,Wiki Enabled,Size (KiB)
JAVA-Project,2023-06-07T13:52:49Z,false,0,1,0,0,0,0,true,1
React-unitTesting-project,2023-06-07T13:53:50Z,false,0,1,0,0,0,0,true,6297
Angular_SampleCode,2023-06-07T13:56:53Z,false,4,1,0,0,0,0,true,229
Maven_Project_WithActions,2023-06-07T14:49:31Z,false,1,1,0,0,0,1,true,16
Github-Pages,2023-06-07T14:49:17Z,false,0,1,0,0,0,0,true,0
asthag.github.io,2023-06-07T14:49:45Z,false,0,1,0,0,0,0,true,1
Python_project,2023-06-08T07:06:51Z,false,7,7,1,0,0,0,true,1359
E-commerce,2023-06-08T07:07:09Z,false,4,6,1,0,0,0,true,7227
online-shopping-system-advanced_php,2023-06-08T07:08:19Z,false,3,5,1,0,0,0,true,22022
Android-Kotlin-Project,2023-06-08T07:08:08Z,false,6,3,0,0,0,1,true,17
Angular_Project_1,2023-06-08T07:09:05Z,false,2,5,3,0,0,0,true,2802
Branch-Protection-NA,2023-06-08T07:12:43Z,false,0,1,0,0,0,0,true,2
Commit-comment,2023-06-08T07:56:12Z,false,0,1,0,0,0,0,true,0
