Repository Name,Last Push Date,Is Archived?,Number Of Pull Requests,Number of Issues,Number of Projects,Number of Discussions,Number of Packages,Number of Releases,Wiki Enabled,Size (KiB)
JAVA-Project,2023-06-05T10:20:44Z,false,0,0,0,0,0,0,true,0
Maven_Project_WithActions,2023-06-07T10:41:09Z,false,0,0,0,1,0,1,true,31
Python_project,2023-06-06T10:00:08Z,false,7,6,1,0,0,0,true,1371
E-commerce,2023-06-06T10:01:18Z,false,4,5,1,0,0,0,true,7228
online-shopping-system-advanced_php,2023-06-05T13:59:37Z,false,3,4,1,0,0,0,true,22027
Android-Kotlin-Project,2023-06-06T09:42:33Z,false,6,2,0,0,0,1,true,18
Angular_Project_1,2023-06-05T14:29:51Z,false,2,4,3,0,0,0,true,2800
Github-Pages,2023-06-05T14:21:31Z,false,0,0,0,0,0,0,true,0
asthag.github.io,2023-06-06T11:29:36Z,false,0,0,0,0,0,0,true,1
React-unitTesting-project,2023-06-06T09:27:20Z,false,0,0,0,0,0,0,true,0
Angular_SampleCode,2023-06-06T12:32:58Z,false,4,0,0,1,0,0,true,238
Branch-Protection-NA,2023-06-06T12:13:33Z,false,0,0,0,0,0,0,true,0
Commit-comment,2023-06-08T07:39:56Z,false,0,0,0,0,0,0,true,0
